feature,importance_rf
FCFP6_1024_820_1.0,0.0020449342277951903
FCFP6_1024_194_1.0,0.002040513245516754
FCFP6_1024_138_1.0,0.002023499040340642
FCFP6_1024_88_1.0,0.0020165650906418644
FCFP6_1024_684_1.0,0.002011140574532617
FCFP6_1024_375_1.0,0.002009348689783254
FCFP6_1024_190_1.0,0.002000736961069741
FCFP6_1024_536_1.0,0.001999755828439578
FCFP6_1024_436_1.0,0.0019772214418071867
FCFP6_1024_818_1.0,0.0019466392759001855
FCFP6_1024_553_1.0,0.0019441873244575706
FCFP6_1024_626_1.0,0.001934026569255312
FCFP6_1024_52_1.0,0.001881688184934939
FCFP6_1024_697_1.0,0.0018717852594898798
FCFP6_1024_380_1.0,0.0018434232386851995
FCFP6_1024_455_1.0,0.0018143705500117807
FCFP6_1024_1002_1.0,0.001803978657304964
FCFP6_1024_247_1.0,0.0017953317199217592
FCFP6_1024_99_1.0,0.0017886449266697442
FCFP6_1024_64_1.0,0.0017855303853470937
FCFP6_1024_240_1.0,0.0017789085927494492
FCFP6_1024_166_1.0,0.0017745983714276606
FCFP6_1024_891_1.0,0.001767247645486672
FCFP6_1024_56_1.0,0.0017653622638826338
FCFP6_1024_810_1.0,0.0017638318676782725
FCFP6_1024_656_1.0,0.0017549395616914675
FCFP6_1024_992_1.0,0.0017351658397965464
FCFP6_1024_594_1.0,0.0017328629811023625
FCFP6_1024_544_1.0,0.001728062318972497
FCFP6_1024_715_1.0,0.001723337819121872
FCFP6_1024_1013_1.0,0.001721618223682838
FCFP6_1024_513_1.0,0.0017082821724705986
FCFP6_1024_667_1.0,0.0017066843243964552
FCFP6_1024_735_1.0,0.0016915333972015924
FCFP6_1024_136_1.0,0.0016871826106883267
FCFP6_1024_804_1.0,0.0016827307485603718
FCFP6_1024_852_1.0,0.0016657128683458086
FCFP6_1024_1017_1.0,0.0016494608942122986
FCFP6_1024_966_1.0,0.0016477648245100751
FCFP6_1024_1019_1.0,0.0016411084070091135
FCFP6_1024_1007_1.0,0.001639971747424227
FCFP6_1024_953_1.0,0.0016208719155399293
FCFP6_1024_765_1.0,0.0016130293601480192
FCFP6_1024_458_1.0,0.0016128038759166657
FCFP6_1024_4_1.0,0.0016008411904540512
FCFP6_1024_631_1.0,0.0015875101592633708
FCFP6_1024_775_1.0,0.0015790641666624653
FCFP6_1024_234_1.0,0.0015711135921744927
FCFP6_1024_912_1.0,0.0015591662435189674
FCFP6_1024_637_1.0,0.0015573985767502435
FCFP6_1024_24_1.0,0.0015559468287528744
FCFP6_1024_34_1.0,0.0015471158292656364
FCFP6_1024_225_1.0,0.0015412921694566214
FCFP6_1024_106_1.0,0.0015260456561402211
FCFP6_1024_9_1.0,0.001522348480842429
FCFP6_1024_821_1.0,0.0015134348723791374
FCFP6_1024_900_1.0,0.0015119463393152596
FCFP6_1024_522_1.0,0.001506219327065936
FCFP6_1024_871_1.0,0.0015016496490597683
FCFP6_1024_730_1.0,0.0014961638409446395
FCFP6_1024_323_1.0,0.00149605536383761
FCFP6_1024_537_1.0,0.001494186419266067
FCFP6_1024_282_1.0,0.0014925395599736848
FCFP6_1024_347_1.0,0.001489576469713848
FCFP6_1024_8_1.0,0.0014707730405068779
FCFP6_1024_359_1.0,0.001466916069707349
FCFP6_1024_423_1.0,0.0014652058373825537
FCFP6_1024_111_1.0,0.001449390572908389
FCFP6_1024_27_1.0,0.0014248611258275714
FCFP6_1024_207_1.0,0.0014225496750480326
FCFP6_1024_811_1.0,0.0013920066029975361
FCFP6_1024_279_1.0,0.0013905241656124892
FCFP6_1024_419_1.0,0.0013883911063261348
FCFP6_1024_1005_1.0,0.001383389294360144
FCFP6_1024_192_1.0,0.0013833442154067505
FCFP6_1024_786_1.0,0.0013779223586158837
FCFP6_1024_755_1.0,0.0013778247326974946
FCFP6_1024_924_1.0,0.0013713242643485124
FCFP6_1024_1010_1.0,0.0013661839330897242
FCFP6_1024_36_1.0,0.0013599215246857955
FCFP6_1024_599_1.0,0.001358284628448299
FCFP6_1024_62_1.0,0.0013506164830517909
FCFP6_1024_177_1.0,0.0013474079327795536
FCFP6_1024_902_1.0,0.0013463112966720558
FCFP6_1024_690_1.0,0.0013452847933988744
FCFP6_1024_586_1.0,0.0013428107202052516
FCFP6_1024_141_1.0,0.0013353002688586133
FCFP6_1024_853_1.0,0.0013336903186303903
FCFP6_1024_30_1.0,0.001330537626790413
FCFP6_1024_309_1.0,0.0013165701058326118
FCFP6_1024_19_1.0,0.0013088688764258433
FCFP6_1024_999_1.0,0.0012999381355231717
FCFP6_1024_584_1.0,0.0012918700524366055
FCFP6_1024_643_1.0,0.0012791459035271496
FCFP6_1024_132_1.0,0.0012786859388845564
FCFP6_1024_581_1.0,0.0012781556162607683
FCFP6_1024_305_1.0,0.0012773709391248706
FCFP6_1024_368_1.0,0.0012768481265672687
FCFP6_1024_79_1.0,0.0012709456468219724
FCFP6_1024_383_1.0,0.0012655552316566882
FCFP6_1024_454_1.0,0.001262316798063602
FCFP6_1024_492_1.0,0.0012613216194114485
FCFP6_1024_567_1.0,0.0012510271564393969
FCFP6_1024_969_1.0,0.0012392283843942263
FCFP6_1024_319_1.0,0.001233520742048152
FCFP6_1024_1018_1.0,0.0012247730176487932
FCFP6_1024_589_1.0,0.0012166827183684563
FCFP6_1024_993_1.0,0.0012160302691104413
FCFP6_1024_228_1.0,0.0012008454346850686
FCFP6_1024_625_1.0,0.0011849555092694264
FCFP6_1024_525_1.0,0.0011800112637174193
FCFP6_1024_424_1.0,0.001172011570001595
FCFP6_1024_778_1.0,0.0011695289819190532
FCFP6_1024_926_1.0,0.0011610903523057896
FCFP6_1024_400_1.0,0.00115122004070844
FCFP6_1024_304_1.0,0.001145215651133673
FCFP6_1024_552_1.0,0.0011442273479582753
FCFP6_1024_964_1.0,0.0011429579358938834
FCFP6_1024_427_1.0,0.0011260345718241286
FCFP6_1024_901_1.0,0.001119386521374087
FCFP6_1024_57_1.0,0.0011185540407845306
FCFP6_1024_184_1.0,0.0011039691425613436
FCFP6_1024_127_1.0,0.0010959758409078407
FCFP6_1024_270_1.0,0.0010821343550847316
FCFP6_1024_946_1.0,0.001065958881574961
FCFP6_1024_666_1.0,0.0010458346317519967
FCFP6_1024_576_1.0,0.0010373671001823815
FCFP6_1024_269_1.0,0.0010370785247525948
FCFP6_1024_3_1.0,0.0010360368816933823
FCFP6_1024_133_1.0,0.001032466805915367
FCFP6_1024_559_1.0,0.0010320431386418168
FCFP6_1024_894_1.0,0.0010257283824049676
FCFP6_1024_387_1.0,0.0010233829648537982
FCFP6_1024_899_1.0,0.0010128332499515415
FCFP6_1024_515_1.0,0.0009996354349146833
FCFP6_1024_982_1.0,0.0009958809579930122
FCFP6_1024_116_1.0,0.0009932390270324023
FCFP6_1024_745_1.0,0.0009870960032304
FCFP6_1024_394_1.0,0.000978174207080342
FCFP6_1024_794_1.0,0.0009757677235345824
FCFP6_1024_401_1.0,0.0009749498956315393
FCFP6_1024_484_1.0,0.000973284636634656
FCFP6_1024_991_1.0,0.000968306803689089
FCFP6_1024_673_1.0,0.0009543140456075572
FCFP6_1024_457_1.0,0.0009503925891944563
FCFP6_1024_372_1.0,0.0009448402131409175
FCFP6_1024_482_1.0,0.0009413862034824591
FCFP6_1024_411_1.0,0.0009296037407392865
FCFP6_1024_613_1.0,0.0009244878435285747
FCFP6_1024_307_1.0,0.0009147550712305862
FCFP6_1024_524_1.0,0.0009054625269907623
FCFP6_1024_739_1.0,0.0009012186561671556
FCFP6_1024_1016_1.0,0.0009008560162310551
FCFP6_1024_610_1.0,0.0008823627353358148
FCFP6_1024_947_1.0,0.0008816617646560082
FCFP6_1024_759_1.0,0.000879410976567268
FCFP6_1024_530_1.0,0.000874789508094274
FCFP6_1024_172_1.0,0.0008677368371666494
FCFP6_1024_121_1.0,0.000862093583520946
FCFP6_1024_747_1.0,0.0008605526331398867
FCFP6_1024_1001_1.0,0.0008550401047980847
FCFP6_1024_432_1.0,0.0008543194754094941
FCFP6_1024_732_1.0,0.0008522310658883429
FCFP6_1024_705_1.0,0.0008478757733188017
FCFP6_1024_676_1.0,0.0008465748873567478
FCFP6_1024_297_1.0,0.0008458947203402254
FCFP6_1024_437_1.0,0.0008419555514197347
FCFP6_1024_249_1.0,0.0008317643552395415
FCFP6_1024_693_1.0,0.0008161035901346045
FCFP6_1024_60_1.0,0.0008145108887012319
FCFP6_1024_598_1.0,0.0008143832866963792
FCFP6_1024_257_1.0,0.000811616718599058
FCFP6_1024_685_1.0,0.0008110556700577691
FCFP6_1024_638_1.0,0.0008093331877316972
FCFP6_1024_322_1.0,0.000808145451827905
FCFP6_1024_1004_1.0,0.0007924880313415193
FCFP6_1024_312_1.0,0.0007871001339531202
FCFP6_1024_453_1.0,0.0007867119877514313
